Name,Devanagari Script,Meaning
Agniveśa,अग्निवेश,(Ancient Āyurveda practitioner) one who dwells near the fire
Agasti,अगस्ति,(name of a sage)
Agira,अगिर,"Sun, Fire, A Rākṣasa (demon)"
Acyuta,अच्युत,"(name of Lord Viṣṇu) Not fallen, firm, imperishable, permanent"
Aniruḍa,अनिरुड,"(son of Pradyumna) Unobstructed, self-willed"
Abhīma,अभीम,(name of Viṣṇu) causing no fear
Arinandana,अरिनन्दन,affording triumph to an enemy
Arka,अर्क,"Sun, A ray or flash of lightning"
Aja,अज,"(Eminent King in the Raghu lineage) One who is present eternally, the ultimate Principle (Brahma)"
Aṃśula,अंशुल,radiant one
Amogha,अमोघ,"succeeding, fruitful, hitting the mark"
Adhvara,अध्वर,"non-injuring, a sacrifice"
Akrūra,अक्रूर,"(very famous devotee of Shrī Kṛṣṇa) one who is not cruel, one who is merciful"
Anala,अनल,"fire, the deity Agni, fire in the stomach which digests food, wind"
Anuvrata,अनुव्रत,"devoted to, faithful to, ardently attached to"
Ajātaśatru,अजातशत्रु,(name of Yudhiṣṭhira) having no enemy
Ajīgarta,अजीगर्त,(name of a poor ascetic) one who doesn’t have anything to eat (lit. to swallow)
Aśvaghoṣa,अश्वघोष,(Sanskrit poet) the sound of a horse
Abhinavakālidāsa,अभिनवकालिदास,The modern Kālidasa. (a name given to a modern Sanskrit poet
Aśvatthāman,अश्वत्थामन्,(son of Droṇācārya) having the strength of a horse
Adhiratha,अधिरथ,(a charioteer of Karṇa once being the Prince of Aṅga kingdom) One who is on the cart or chariot
Arbuda,अर्बुद,"(a serpent-like Demon coming in the RV conquered by Indra) a long round mass, a swelling or a tumour"
Advaita,अद्वैत,"(Epithet of Viṣṇu, identity of Brahmā or the supreme soul) Non-duality, having no duplicate, peerless, sole, unique."
Aravinda,अरविन्द,"Lotus, the Indian crane."
Arghya,अर्घ्य,"valuable, deserving a respectful reception (as a guest), a daily oblation to Sun during twilight (dawn and evening)."
Abhiṣeka,अभिषेक,"Coronation, inauguration, purification."
Aṅkuśa,अङ्कुश,"Reins, control over something."
Anurāga,अनुराग,"Affection, love."
Ārṣa,आर्ष,"belonging to seers (Ṛṣis), archaistic."
Ākāla,आकाल,the right time.
Ākāśa,आकाश,"a free space, vacuity, ether, sky or atmosphere."
Ākāra,आकार,"form, appearance, gesture or aspect of body, expression of the face."
Ākhuga,आखुग,(name of Lord Gaṇeśa) lit. one who rides on a rat.
Āgama,आगम,"origin, approach, acquisition of knowledge, a traditional doctrine or sacred work."
Āgastya,आगस्त्य,"one belonging to ṛṣi Agasti, follower of ṛṣi Agasti."
Āgneya,आग्नेय,belonging or consecrated to fire or deity Agni.
Āgrayaṇa,आग्रयण,"first libation at the Agniṣṭoma sacrifice, a form of Agni."
Āghoṣa,आघोष,"invocation, boastful statement, proclamation."
Āṅgirasa,आङ्गिरस,descended from or belonging to the Aṅgiras.
Āñjaneya,आञ्जनेय,(name of God Hanumān) son of Añjanā.
Āḍambara,आडम्बर,"immensity, sublimity, pleasure."
Ātitheya,आतिथेय,"proper for or attentive to a guest, hospitable."
Ātmaruha,आत्मरुह,one who grows independently.
Ātmavīra,आत्मवीर,a mighty man.
Ādinātha,आदिनाथ,(name of Śiva) the initial or supreme lord.
Ādeśa,आदेश,"advice, instruction, declaration, command, order."
Ādhirathi,आधिरथि,son of Adhiratha Karṇa.
Ānuśrava,आनुश्रव,"resting on tradition, derived from the Veda or tradition."
Ānūka,आनूक,"ornament, jewels."
Ānanda,आनन्द,"pure happiness, joy, enjoyment."
Āprīta,आप्रीत,"gladdened, joyous."
Ābhāsa,आभास,"splendor, light, color, appearance."
Āmoda,आमोद,"gladdening, cheering up, serenity, aroma."
Āyudha,आयुध,"weapon, gold used for ornaments."
Āryabhaṭṭa,आर्यभट्ट,(famous ancient mathematician and astronomer of India) noble and intelligent person.
Āruṇi,आरुणि,"Name of Uddālaka, a renowned Brāhmaṇa teacher."
Ajarā,अजरा,Ever young
Añjanī,अञ्जनी,"(mother of Hanumān) a woman (who is fit for the application of ointments, pigments, sandal-wood-paste etc.)"
